"Timestamp","FCU-00-04  PIR Log","FCU-00-04   Enable Log","FCU-00-04  Status Log"
"13/03/2020 9:30:53 AM","1.00","1.00","1.00"
"13/03/2020 9:30:51 AM","1.00","1.00","0.00"
"13/03/2020 9:30:50 AM","1.00","0.00","0.00"
"13/03/2020 7:31:13 AM","0.00","0.00","0.00"
"13/03/2020 7:31:11 AM","0.00","0.00","1.00"
"13/03/2020 7:00:05 AM","0.00","1.00","1.00"
"13/03/2020 6:49:42 AM","1.00","1.00","1.00"
"13/03/2020 6:43:53 AM","0.00","1.00","1.00"
"13/03/2020 6:36:03 AM","1.00","1.00","1.00"
"13/03/2020 6:36:01 AM","1.00","1.00","0.00"
"13/03/2020 6:35:55 AM","1.00","0.00","0.00"
"12/03/2020 6:00:03 PM","0.00","0.00","0.00"
"12/03/2020 6:00:01 PM","0.00","0.00","1.00"
"12/03/2020 5:50:19 PM","0.00","1.00","1.00"
"12/03/2020 3:14:59 PM","1.00","1.00","1.00"
"12/03/2020 3:09:34 PM","0.00","1.00","1.00"
"12/03/2020 12:31:49 PM","1.00","1.00","1.00"
"12/03/2020 12:31:41 PM","1.00","1.00","0.00"
"12/03/2020 12:31:31 PM","1.00","0.00","0.00"
"12/03/2020 7:33:53 AM","0.00","0.00","0.00"
"12/03/2020 7:33:51 AM","0.00","0.00","1.00"
"12/03/2020 7:02:39 AM","0.00","1.00","1.00"
"12/03/2020 6:52:44 AM","1.00","1.00","1.00"
"12/03/2020 6:52:41 AM","1.00","1.00","0.00"
"12/03/2020 6:34:33 AM","0.00","0.00","0.00"
"12/03/2020 6:34:31 AM","0.00","0.00","1.00"
"12/03/2020 6:03:22 AM","0.00","1.00","1.00"
"12/03/2020 6:00:09 AM","1.00","1.00","1.00"
"12/03/2020 6:00:01 AM","1.00","1.00","0.00"
"12/03/2020 5:55:04 AM","1.00","0.00","0.00"
"11/03/2020 5:28:28 PM","0.00","0.00","0.00"
"11/03/2020 5:28:21 PM","0.00","0.00","1.00"
"11/03/2020 4:57:11 PM","0.00","1.00","1.00"
"11/03/2020 1:53:14 PM","1.00","1.00","1.00"
"11/03/2020 1:53:11 PM","1.00","1.00","0.00"
"11/03/2020 1:53:08 PM","1.00","0.00","0.00"
"11/03/2020 9:47:43 AM","0.00","0.00","0.00"
"11/03/2020 9:47:41 AM","0.00","0.00","1.00"
"11/03/2020 9:45:03 AM","0.00","1.00","1.00"
"11/03/2020 9:45:01 AM","0.00","1.00","0.00"
"11/03/2020 9:44:56 AM","0.00","0.00","0.00"
"11/03/2020 9:44:51 AM","0.00","0.00","1.00"
"11/03/2020 9:44:34 AM","0.00","1.00","1.00"
"11/03/2020 9:44:31 AM","0.00","1.00","0.00"
"11/03/2020 9:41:13 AM","0.00","0.00","0.00"
"11/03/2020 9:41:11 AM","0.00","0.00","1.00"
"11/03/2020 9:41:04 AM","0.00","1.00","1.00"
