"Timestamp","FCU-00-18 PIR Log","FCU-00-18Enable Log"
"30/01/2020 12:33:42 PM","0.00","1.00"
"30/01/2020 12:33:32 PM","0.00","0.00"
"30/01/2020 12:32:22 PM","0.00","1.00"
"30/01/2020 12:32:12 PM","0.00","0.00"
"30/01/2020 12:32:02 PM","0.00","1.00"
"30/01/2020 12:31:52 PM","0.00","0.00"
"30/01/2020 12:30:32 PM","0.00","1.00"
"30/01/2020 12:30:22 PM","0.00","0.00"
"30/01/2020 12:29:02 PM","0.00","1.00"
"30/01/2020 12:28:32 PM","0.00","0.00"
"30/01/2020 12:27:42 PM","0.00","1.00"
"30/01/2020 12:27:22 PM","0.00","0.00"
"30/01/2020 12:26:02 PM","0.00","1.00"
"30/01/2020 12:25:32 PM","0.00","0.00"
"30/01/2020 12:24:32 PM","0.00","1.00"
"30/01/2020 12:24:02 PM","0.00","0.00"
"30/01/2020 12:22:42 PM","0.00","1.00"
"30/01/2020 12:22:12 PM","0.00","0.00"
"30/01/2020 12:20:12 PM","0.00","1.00"
"30/01/2020 12:19:52 PM","0.00","0.00"
"30/01/2020 12:19:02 PM","0.00","1.00"
"30/01/2020 12:18:32 PM","0.00","0.00"
"30/01/2020 12:17:32 PM","0.00","1.00"
"30/01/2020 12:17:02 PM","0.00","0.00"
"30/01/2020 12:16:12 PM","0.00","1.00"
"30/01/2020 12:15:42 PM","0.00","0.00"
"30/01/2020 12:14:42 PM","0.00","1.00"
"30/01/2020 12:14:12 PM","0.00","0.00"
"30/01/2020 12:12:42 PM","0.00","1.00"
"30/01/2020 12:12:12 PM","0.00","0.00"
"30/01/2020 12:11:02 PM","0.00","1.00"
"30/01/2020 12:10:42 PM","0.00","0.00"
"30/01/2020 12:07:52 PM","0.00","1.00"
"30/01/2020 12:07:22 PM","0.00","0.00"
"30/01/2020 12:06:22 PM","0.00","1.00"
"30/01/2020 12:05:52 PM","0.00","0.00"
"30/01/2020 12:04:52 PM","0.00","1.00"
"30/01/2020 12:04:22 PM","0.00","0.00"
"30/01/2020 12:02:52 PM","0.00","1.00"
"30/01/2020 12:02:22 PM","0.00","0.00"
"30/01/2020 12:01:22 PM","0.00","1.00"
"30/01/2020 12:00:52 PM","0.00","0.00"
"30/01/2020 11:59:32 AM","0.00","1.00"
"30/01/2020 11:59:02 AM","0.00","0.00"
"30/01/2020 11:57:52 AM","0.00","1.00"
"30/01/2020 11:57:42 AM","0.00","0.00"
"30/01/2020 11:55:52 AM","0.00","1.00"
"30/01/2020 11:55:22 AM","0.00","0.00"
"30/01/2020 11:54:12 AM","0.00","1.00"
"30/01/2020 11:53:42 AM","0.00","0.00"
"30/01/2020 11:52:42 AM","0.00","1.00"
"30/01/2020 11:52:12 AM","0.00","0.00"
"30/01/2020 11:50:42 AM","0.00","1.00"
