"Timestamp","FCU-00-10  PIR Log","FCU-00-10   Enable Log","FCU-00-10 Status Log"
"24/03/2020 12:00:04 PM","0.00","0.00","1.00"
"24/03/2020 11:57:07 AM","0.00","1.00","1.00"
"24/03/2020 11:57:04 AM","0.00","1.00","0.00"
"24/03/2020 11:56:29 AM","0.00","0.00","0.00"
"24/03/2020 11:56:24 AM","0.00","0.00","1.00"
"24/03/2020 11:55:17 AM","0.00","1.00","1.00"
"24/03/2020 11:55:14 AM","0.00","1.00","0.00"
"24/03/2020 11:55:09 AM","0.00","0.00","0.00"
"24/03/2020 11:55:04 AM","0.00","0.00","1.00"
"24/03/2020 11:53:02 AM","0.00","1.00","1.00"
"24/03/2020 11:52:54 AM","0.00","1.00","0.00"
"24/03/2020 11:52:49 AM","0.00","0.00","0.00"
"24/03/2020 11:52:44 AM","0.00","0.00","1.00"
"24/03/2020 11:52:27 AM","0.00","1.00","1.00"
"24/03/2020 11:52:24 AM","0.00","1.00","0.00"
"24/03/2020 11:52:19 AM","0.00","0.00","0.00"
"24/03/2020 11:52:18 AM","0.00","0.00","1.00"
"24/03/2020 11:52:14 AM","0.00","0.00","1.00"
"24/03/2020 11:51:27 AM","0.00","1.00","1.00"
"24/03/2020 11:51:24 AM","0.00","1.00","0.00"
"24/03/2020 11:51:09 AM","0.00","0.00","0.00"
"24/03/2020 11:51:04 AM","0.00","0.00","1.00"
"24/03/2020 11:50:17 AM","0.00","1.00","1.00"
"24/03/2020 11:50:14 AM","0.00","1.00","0.00"
"24/03/2020 11:50:09 AM","0.00","0.00","0.00"
"24/03/2020 11:50:04 AM","0.00","0.00","1.00"
"24/03/2020 11:42:42 AM","0.00","1.00","1.00"
"24/03/2020 11:42:34 AM","0.00","1.00","0.00"
"24/03/2020 11:42:29 AM","0.00","0.00","0.00"
"24/03/2020 11:42:24 AM","0.00","0.00","1.00"
"24/03/2020 11:40:37 AM","0.00","1.00","1.00"
"24/03/2020 11:40:34 AM","0.00","1.00","0.00"
"24/03/2020 11:40:29 AM","0.00","0.00","0.00"
"24/03/2020 11:40:24 AM","0.00","0.00","1.00"
"24/03/2020 11:35:42 AM","0.00","1.00","1.00"
"24/03/2020 11:35:34 AM","0.00","1.00","0.00"
"24/03/2020 11:35:29 AM","0.00","0.00","0.00"
"24/03/2020 11:35:28 AM","0.00","0.00","0.00"
"24/03/2020 11:35:27 AM","0.00","0.00","1.00"
"24/03/2020 11:35:24 AM","0.00","0.00","1.00"
"24/03/2020 11:33:52 AM","0.00","1.00","1.00"
"24/03/2020 11:33:44 AM","0.00","1.00","0.00"
"24/03/2020 11:33:39 AM","0.00","0.00","0.00"
"24/03/2020 11:33:34 AM","0.00","0.00","1.00"
"24/03/2020 11:33:32 AM","0.00","1.00","1.00"
"24/03/2020 11:33:24 AM","0.00","1.00","0.00"
"24/03/2020 11:33:19 AM","0.00","0.00","0.00"
"24/03/2020 11:33:14 AM","0.00","0.00","1.00"
"24/03/2020 11:33:07 AM","0.00","1.00","1.00"
"24/03/2020 11:33:04 AM","0.00","1.00","0.00"
"24/03/2020 11:32:59 AM","0.00","0.00","0.00"
"24/03/2020 11:32:54 AM","0.00","0.00","1.00"
"24/03/2020 11:32:47 AM","0.00","1.00","1.00"
"24/03/2020 11:32:44 AM","0.00","1.00","0.00"
"24/03/2020 11:32:19 AM","0.00","0.00","0.00"
"24/03/2020 11:32:18 AM","0.00","0.00","1.00"
"24/03/2020 11:32:14 AM","0.00","0.00","1.00"
"24/03/2020 11:32:07 AM","0.00","1.00","1.00"
"24/03/2020 11:32:04 AM","0.00","1.00","0.00"
"24/03/2020 11:31:59 AM","0.00","0.00","0.00"
"24/03/2020 11:31:54 AM","0.00","0.00","1.00"
"24/03/2020 11:26:42 AM","0.00","1.00","1.00"
"24/03/2020 11:26:34 AM","0.00","1.00","0.00"
"24/03/2020 11:26:29 AM","0.00","0.00","0.00"
"24/03/2020 11:26:28 AM","0.00","0.00","1.00"
"24/03/2020 11:26:24 AM","0.00","0.00","1.00"
"24/03/2020 11:25:07 AM","0.00","1.00","1.00"
"24/03/2020 11:25:04 AM","0.00","1.00","0.00"
"24/03/2020 11:24:59 AM","0.00","0.00","0.00"
"24/03/2020 11:24:54 AM","0.00","0.00","1.00"
"24/03/2020 11:24:47 AM","0.00","1.00","1.00"
"24/03/2020 11:24:44 AM","0.00","1.00","0.00"
"24/03/2020 11:24:29 AM","0.00","0.00","0.00"
"24/03/2020 11:24:28 AM","0.00","0.00","1.00"
"24/03/2020 11:24:24 AM","0.00","0.00","1.00"
"24/03/2020 11:22:57 AM","0.00","1.00","1.00"
"24/03/2020 11:22:54 AM","0.00","1.00","0.00"
"24/03/2020 11:22:49 AM","0.00","0.00","0.00"
