"Timestamp","Cooling Capacity #3 KWr Extended Trend Log","COP #3 Extended Trend Log","Cooling Capacity #2 kwr ext Interval Trend Log","COP #2 Extended Trend Log","Cooling Machine #1 KWr extended trend","COP #1  Extended Trend Log","COP #1 Interval Trend Log"
"23/03/2020 12:50:00 AM","0.00","0.00","0.20","0.00","8.46","0.00","0.00"
"23/03/2020 12:45:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 12:40:00 AM","0.00","0.00","0.00","0.00","10.78","0.00","0.00"
"23/03/2020 12:35:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 12:30:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 12:25:00 AM","0.00","0.00","0.00","0.00","5.18","0.00","0.00"
"23/03/2020 12:20:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 12:15:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 12:10:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23/03/2020 12:05:00 AM","0.00","0.00","0.00","0.00","1.18","0.00","0.00"
"23/03/2020 12:00:00 AM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 11:55:00 PM","0.00","0.00","0.00","0.00","17.26","0.00","0.00"
"22/03/2020 11:50:00 PM","0.00","0.00","0.34","0.00","9.43","0.00","0.00"
"22/03/2020 11:45:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 11:40:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 11:35:00 PM","0.00","0.00","0.41","0.00","0.00","0.00","0.00"
"22/03/2020 11:30:00 PM","0.00","0.00","0.38","0.00","0.00","0.00","0.00"
"22/03/2020 11:25:00 PM","0.00","0.00","0.53","0.00","0.00","0.00","0.00"
"22/03/2020 11:20:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 11:15:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 11:10:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 11:05:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 11:00:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 10:55:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 10:50:00 PM","0.00","0.00","0.59","0.00","0.00","0.00","0.00"
"22/03/2020 10:45:00 PM","0.00","0.00","0.90","0.00","0.00","0.00","0.00"
"22/03/2020 10:40:00 PM","0.00","0.00","0.49","0.00","0.00","0.00","0.00"
"22/03/2020 10:35:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 10:30:00 PM","0.00","0.00","0.62","0.00","0.00","0.00","0.00"
"22/03/2020 10:25:00 PM","0.00","0.00","0.53","0.00","0.00","0.00","0.00"
"22/03/2020 10:20:00 PM","0.00","0.00","0.33","0.00","0.00","0.00","0.00"
"22/03/2020 10:15:00 PM","0.00","0.00","0.45","0.00","0.00","0.00","0.00"
"22/03/2020 10:10:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 10:05:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 10:00:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:55:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:50:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:45:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:40:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:35:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:30:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:25:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:20:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:15:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:10:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:05:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 9:00:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:55:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:50:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:45:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:40:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:35:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:30:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:25:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:20:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:15:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:10:00 PM","0.00","0.00","0.00","0.00","7.21","0.00","0.00"
"22/03/2020 8:05:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 8:00:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 7:55:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 7:50:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 7:45:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 7:40:00 PM","0.00","0.00","0.00","0.00","7.72","0.00","0.00"
"22/03/2020 7:35:00 PM","0.00","0.00","0.00","0.00","5.44","0.00","0.00"
"22/03/2020 7:30:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 7:25:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 7:20:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 7:15:00 PM","0.00","0.00","0.88","0.00","3.90","0.00","0.00"
"22/03/2020 7:10:00 PM","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22/03/2020 7:05:00 PM","0.00","0.00","0.64","0.00","5.93","0.00","0.00"
"22/03/2020 7:00:00 PM","0.00","0.00","0.00","0.00","11.93","0.00","0.00"
"22/03/2020 6:55:00 PM","0.00","0.00","0.53","0.00","0.00","0.00","0.00"
"22/03/2020 6:50:00 PM","0.00","0.00","7.01","0.00","0.00","0.00","0.00"
"22/03/2020 6:45:00 PM","0.00","0.00","8.56","0.00","0.00","0.00","0.00"
"22/03/2020 6:40:00 PM","0.00","0.00","10.33","0.00","0.00","0.00","0.00"
"22/03/2020 6:35:00 PM","0.00","0.00","14.19","0.00","0.00","0.00","0.00"
"22/03/2020 6:30:00 PM","0.00","0.00","9.18","0.00","8.07","0.00","0.00"
"22/03/2020 6:25:00 PM","0.00","0.00","8.59","0.00","0.00","0.00","0.00"
"22/03/2020 6:20:00 PM","0.00","0.00","9.99","0.00","0.00","0.00","0.00"
"22/03/2020 6:15:00 PM","0.00","0.00","8.80","0.00","0.00","0.00","0.00"
"22/03/2020 6:10:00 PM","0.00","0.00","7.64","0.00","0.00","0.00","0.00"
"22/03/2020 6:05:00 PM","0.00","0.00","12.09","0.00","0.00","0.00","0.00"
"22/03/2020 6:00:00 PM","0.00","0.00","11.70","0.00","0.00","0.00","0.00"
"22/03/2020 5:55:00 PM","0.00","0.00","8.10","0.00","0.00","0.00","0.00"
"22/03/2020 5:50:00 PM","0.00","0.00","14.45","0.00","0.00","0.00","0.00"
"22/03/2020 5:45:00 PM","0.00","0.00","7.37","0.00","0.00","0.00","0.00"
"22/03/2020 5:40:00 PM","0.00","0.00","7.86","0.00","20.04","0.00","0.00"
"22/03/2020 5:35:00 PM","0.00","0.00","12.84","0.00","0.00","0.00","0.00"
"22/03/2020 5:30:00 PM","0.00","0.00","12.03","0.00","0.00","0.00","0.00"
"22/03/2020 5:25:00 PM","0.00","0.00","11.28","0.00","0.00","0.00","0.00"
"22/03/2020 5:20:00 PM","0.00","0.00","13.70","0.00","0.00","0.00","0.00"
"22/03/2020 5:15:00 PM","0.00","0.00","14.99","0.00","0.00","0.00","0.00"
"22/03/2020 5:10:00 PM","0.00","0.00","12.33","0.00","0.00","0.00","0.00"
"22/03/2020 5:05:00 PM","0.00","0.00","14.55","0.00","0.00","0.00","0.00"
