"Timestamp","FCU PIR Log","FCU Enable Log","FCU Status Log"
"4/03/2020 7:31:48 AM","0.00","0.00","0.00"
"4/03/2020 7:31:41 AM","0.00","0.00","1.00"
"4/03/2020 7:00:30 AM","0.00","1.00","1.00"
"4/03/2020 6:50:44 AM","1.00","1.00","1.00"
"4/03/2020 6:50:41 AM","1.00","1.00","0.00"
"4/03/2020 6:50:37 AM","1.00","0.00","0.00"
"3/03/2020 1:42:43 PM","0.00","0.00","0.00"
"3/03/2020 1:42:41 PM","0.00","0.00","1.00"
"3/03/2020 1:11:35 PM","0.00","1.00","1.00"
"3/03/2020 11:34:43 AM","1.00","1.00","1.00"
"3/03/2020 11:34:41 AM","1.00","1.00","0.00"
"3/03/2020 11:34:40 AM","1.00","0.00","0.00"
"3/03/2020 7:35:28 AM","0.00","0.00","0.00"
"3/03/2020 7:35:21 AM","0.00","0.00","1.00"
"3/03/2020 7:04:08 AM","0.00","1.00","1.00"
"3/03/2020 6:55:44 AM","1.00","1.00","1.00"
"3/03/2020 6:55:41 AM","1.00","1.00","0.00"
"3/03/2020 6:55:32 AM","1.00","0.00","0.00"
"2/03/2020 6:00:03 PM","0.00","0.00","0.00"
"2/03/2020 6:00:01 PM","0.00","0.00","1.00"
"2/03/2020 5:37:49 PM","0.00","1.00","1.00"
"2/03/2020 4:47:04 PM","1.00","1.00","1.00"
"2/03/2020 4:47:01 PM","1.00","1.00","0.00"
"2/03/2020 4:46:55 PM","1.00","0.00","0.00"
"2/03/2020 2:32:23 PM","0.00","0.00","0.00"
"2/03/2020 2:32:21 PM","0.00","0.00","1.00"
"2/03/2020 2:01:14 PM","0.00","1.00","1.00"
"2/03/2020 12:28:22 PM","1.00","1.00","1.00"
"2/03/2020 12:25:57 PM","0.00","1.00","1.00"
"2/03/2020 12:21:03 PM","1.00","1.00","1.00"
"2/03/2020 12:21:01 PM","1.00","1.00","0.00"
"2/03/2020 12:20:55 PM","1.00","0.00","0.00"
"2/03/2020 7:30:03 AM","0.00","0.00","0.00"
"2/03/2020 7:30:01 AM","0.00","0.00","1.00"
"2/03/2020 6:58:55 AM","0.00","1.00","1.00"
"2/03/2020 6:42:14 AM","1.00","1.00","1.00"
"2/03/2020 6:42:11 AM","1.00","1.00","0.00"
"2/03/2020 6:42:08 AM","1.00","0.00","0.00"
"2/03/2020 4:02:13 AM","0.00","0.00","0.00"
"2/03/2020 3:58:01 AM","1.00","0.00","0.00"
"2/03/2020 3:57:57 AM","1.00","0.00","1.00"
"2/03/2020 3:03:18 AM","1.00","0.00","1.00"
"2/03/2020 12:59:40 AM","0.00","0.00","0.00"
"2/03/2020 12:55:23 AM","1.00","0.00","0.00"
"2/03/2020 12:55:19 AM","1.00","0.00","1.00"
"1/03/2020 11:11:01 PM","1.00","0.00","1.00"
"28/02/2020 6:00:10 PM","0.00","0.00","0.00"
"28/02/2020 6:00:03 PM","0.00","0.00","1.00"
"28/02/2020 5:53:47 PM","0.00","1.00","1.00"
"28/02/2020 4:00:43 PM","1.00","1.00","1.00"
"28/02/2020 3:52:22 PM","0.00","1.00","1.00"
"28/02/2020 3:41:38 PM","1.00","1.00","1.00"
"28/02/2020 3:24:37 PM","0.00","1.00","1.00"
"28/02/2020 3:04:45 PM","1.00","1.00","1.00"
"28/02/2020 3:04:43 PM","1.00","1.00","0.00"
"28/02/2020 3:04:37 PM","1.00","0.00","0.00"
"28/02/2020 12:04:35 PM","0.00","0.00","0.00"
"28/02/2020 12:04:33 PM","0.00","0.00","1.00"
"28/02/2020 11:33:19 AM","0.00","1.00","1.00"
"28/02/2020 11:17:05 AM","1.00","1.00","1.00"
"28/02/2020 11:17:03 AM","1.00","1.00","0.00"
"28/02/2020 11:17:02 AM","1.00","0.00","0.00"
"28/02/2020 7:28:15 AM","0.00","0.00","0.00"
"28/02/2020 7:28:13 AM","0.00","0.00","1.00"
"28/02/2020 6:56:59 AM","0.00","1.00","1.00"
"28/02/2020 6:46:55 AM","1.00","1.00","1.00"
"28/02/2020 6:46:53 AM","1.00","1.00","0.00"
"28/02/2020 6:46:45 AM","1.00","0.00","0.00"
"27/02/2020 11:54:38 PM","0.00","0.00","0.00"
"27/02/2020 11:54:35 PM","1.00","0.00","1.00"
"27/02/2020 11:52:43 PM","1.00","0.00","1.00"
"27/02/2020 4:58:52 PM","0.00","0.00","0.00"
"27/02/2020 4:58:50 PM","0.00","0.00","1.00"
"27/02/2020 4:27:39 PM","0.00","1.00","1.00"
"27/02/2020 4:21:33 PM","1.00","1.00","1.00"
"27/02/2020 4:21:30 PM","1.00","1.00","0.00"
"27/02/2020 4:21:27 PM","1.00","0.00","0.00"
"27/02/2020 7:31:02 AM","0.00","0.00","0.00"
"27/02/2020 7:31:00 AM","0.00","0.00","1.00"
"27/02/2020 6:59:47 AM","0.00","1.00","1.00"
"27/02/2020 6:51:39 AM","1.00","1.00","1.00"
"27/02/2020 6:51:30 AM","1.00","1.00","0.00"
"27/02/2020 6:51:21 AM","1.00","0.00","0.00"
"26/02/2020 5:38:02 PM","0.00","0.00","0.00"
"26/02/2020 5:38:00 PM","0.00","0.00","1.00"
"26/02/2020 5:06:47 PM","0.00","1.00","1.00"
"26/02/2020 4:47:24 PM","1.00","1.00","1.00"
"26/02/2020 4:46:34 PM","0.00","1.00","1.00"
"26/02/2020 2:18:16 PM","1.00","1.00","1.00"
"26/02/2020 2:16:18 PM","0.00","1.00","1.00"
"26/02/2020 1:12:33 PM","1.00","1.00","1.00"
"26/02/2020 1:12:30 PM","1.00","1.00","0.00"
"26/02/2020 1:12:22 PM","1.00","0.00","0.00"
"26/02/2020 12:11:52 PM","0.00","0.00","0.00"
"26/02/2020 12:11:50 PM","0.00","0.00","1.00"
"26/02/2020 11:40:37 AM","0.00","1.00","1.00"
"26/02/2020 11:21:51 AM","1.00","1.00","1.00"
"26/02/2020 11:20:36 AM","0.00","1.00","1.00"
"26/02/2020 10:49:23 AM","1.00","1.00","1.00"
