"Timestamp","FCU-00-06   PIR Log","FCU-00-06   Enable Log","FCU-00-06   Status Log"
"13/03/2020 10:09:50 AM","1.00","1.00","1.00"
"13/03/2020 10:09:42 AM","1.00","1.00","1.00"
"13/03/2020 10:09:41 AM","1.00","1.00","0.00"
"13/03/2020 10:09:10 AM","1.00","1.00","1.00"
"13/03/2020 9:59:41 AM","1.00","1.00","1.00"
"13/03/2020 9:59:33 AM","1.00","1.00","0.00"
"13/03/2020 9:59:32 AM","1.00","0.00","0.00"
"13/03/2020 9:07:56 AM","0.00","0.00","0.00"
"13/03/2020 9:07:53 AM","0.00","0.00","1.00"
"13/03/2020 8:36:41 AM","0.00","1.00","1.00"
"13/03/2020 8:31:30 AM","1.00","1.00","1.00"
"13/03/2020 8:31:23 AM","1.00","1.00","0.00"
"13/03/2020 8:31:21 AM","1.00","0.00","0.00"
"13/03/2020 7:02:36 AM","0.00","0.00","0.00"
"13/03/2020 7:02:33 AM","0.00","0.00","1.00"
"13/03/2020 6:31:27 AM","0.00","1.00","1.00"
"13/03/2020 6:27:03 AM","1.00","1.00","1.00"
"13/03/2020 6:27:02 AM","1.00","1.00","0.00"
"13/03/2020 6:17:17 AM","1.00","1.00","1.00"
"13/03/2020 6:17:16 AM","1.00","1.00","0.00"
"13/03/2020 6:17:08 AM","1.00","1.00","1.00"
"13/03/2020 6:17:03 AM","1.00","1.00","0.00"
"13/03/2020 6:16:58 AM","1.00","0.00","0.00"
"12/03/2020 6:00:06 PM","0.00","0.00","0.00"
"12/03/2020 6:00:03 PM","0.00","0.00","1.00"
"12/03/2020 5:48:17 PM","0.00","1.00","1.00"
"12/03/2020 4:42:30 PM","1.00","1.00","1.00"
"12/03/2020 4:15:28 PM","0.00","1.00","1.00"
"12/03/2020 4:05:42 PM","1.00","1.00","1.00"
"12/03/2020 4:05:32 PM","0.00","1.00","1.00"
"12/03/2020 3:21:53 PM","1.00","1.00","1.00"
"12/03/2020 3:18:43 PM","0.00","1.00","1.00"
"12/03/2020 1:58:22 PM","1.00","1.00","1.00"
"12/03/2020 1:58:21 PM","1.00","1.00","0.00"
"12/03/2020 11:58:35 AM","1.00","1.00","1.00"
"12/03/2020 11:58:06 AM","1.00","1.00","1.00"
"12/03/2020 11:32:48 AM","1.00","1.00","1.00"
"12/03/2020 11:30:57 AM","0.00","1.00","1.00"
"12/03/2020 10:53:24 AM","1.00","1.00","1.00"
"12/03/2020 10:53:23 AM","1.00","1.00","0.00"
"12/03/2020 10:53:13 AM","1.00","1.00","0.00"
"12/03/2020 10:53:06 AM","1.00","0.00","0.00"
"12/03/2020 9:48:26 AM","0.00","0.00","0.00"
"12/03/2020 9:48:25 AM","0.00","0.00","1.00"
"12/03/2020 9:48:23 AM","0.00","0.00","1.00"
"12/03/2020 9:17:12 AM","0.00","1.00","1.00"
"12/03/2020 9:11:47 AM","1.00","1.00","1.00"
"12/03/2020 9:11:43 AM","1.00","1.00","0.00"
"12/03/2020 9:11:36 AM","1.00","0.00","0.00"
"12/03/2020 6:52:16 AM","0.00","0.00","0.00"
"12/03/2020 6:52:13 AM","0.00","0.00","1.00"
"12/03/2020 6:20:59 AM","0.00","1.00","1.00"
"12/03/2020 6:20:42 AM","1.00","1.00","1.00"
"12/03/2020 6:12:48 AM","1.00","1.00","1.00"
"12/03/2020 6:12:46 AM","1.00","1.00","0.00"
"12/03/2020 6:12:45 AM","1.00","1.00","1.00"
"12/03/2020 6:10:18 AM","1.00","1.00","1.00"
"12/03/2020 6:10:17 AM","1.00","1.00","0.00"
"12/03/2020 6:10:10 AM","1.00","1.00","1.00"
"12/03/2020 6:10:03 AM","1.00","1.00","0.00"
"12/03/2020 1:45:07 AM","0.00","0.00","0.00"
"11/03/2020 5:16:36 PM","0.00","0.00","0.00"
"11/03/2020 5:16:33 PM","0.00","0.00","1.00"
"11/03/2020 4:45:22 PM","0.00","1.00","1.00"
