"Timestamp","FCU-00-17  PIR Log","FCU-00-17  Enable Log","FCU-00-17  Status Log"
"20/03/2020 3:40:04 AM","0.00","0.00","0.00"
"20/03/2020 3:34:59 AM","1.00","0.00","0.00"
"20/03/2020 3:33:16 AM","0.00","0.00","0.00"
"20/03/2020 3:28:16 AM","1.00","0.00","0.00"
"20/03/2020 1:02:48 AM","0.00","0.00","0.00"
"20/03/2020 1:02:47 AM","0.00","0.00","1.00"
"20/03/2020 12:32:10 AM","0.00","1.00","1.00"
"20/03/2020 12:32:07 AM","0.00","1.00","0.00"
"20/03/2020 12:31:38 AM","0.00","0.00","0.00"
"20/03/2020 12:25:59 AM","1.00","0.00","0.00"
"20/03/2020 12:11:25 AM","0.00","0.00","0.00"
"20/03/2020 12:11:17 AM","0.00","0.00","1.00"
"19/03/2020 11:40:09 PM","0.00","1.00","1.00"
"19/03/2020 11:34:38 PM","1.00","1.00","1.00"
"19/03/2020 11:29:08 PM","0.00","1.00","1.00"
"19/03/2020 11:23:49 PM","1.00","1.00","1.00"
"19/03/2020 11:10:12 PM","0.00","1.00","1.00"
"19/03/2020 11:02:45 PM","1.00","1.00","1.00"
"19/03/2020 10:43:46 PM","0.00","1.00","1.00"
"19/03/2020 10:25:48 PM","1.00","1.00","1.00"
"19/03/2020 10:23:24 PM","0.00","1.00","1.00"
"19/03/2020 10:18:22 PM","1.00","1.00","1.00"
"19/03/2020 10:14:23 PM","0.00","1.00","1.00"
"19/03/2020 10:09:24 PM","1.00","1.00","1.00"
"19/03/2020 9:43:57 PM","0.00","1.00","1.00"
"19/03/2020 9:25:47 PM","1.00","1.00","1.00"
"19/03/2020 9:24:48 PM","0.00","1.00","1.00"
"19/03/2020 9:19:41 PM","1.00","1.00","1.00"
"19/03/2020 9:19:21 PM","0.00","1.00","1.00"
"19/03/2020 9:12:47 PM","1.00","1.00","1.00"
"19/03/2020 9:05:04 PM","0.00","1.00","1.00"
"19/03/2020 8:59:57 PM","1.00","1.00","1.00"
"19/03/2020 8:51:14 PM","0.00","1.00","1.00"
"19/03/2020 8:43:50 PM","1.00","1.00","1.00"
"19/03/2020 8:41:45 PM","0.00","1.00","1.00"
"19/03/2020 6:06:10 PM","1.00","1.00","1.00"
"19/03/2020 6:06:07 PM","1.00","1.00","0.00"
"19/03/2020 6:00:08 PM","1.00","0.00","0.00"
"19/03/2020 6:00:07 PM","1.00","0.00","1.00"
"19/03/2020 9:33:53 AM","1.00","1.00","1.00"
"19/03/2020 9:33:38 AM","0.00","1.00","1.00"
"19/03/2020 9:12:20 AM","1.00","1.00","1.00"
"19/03/2020 9:10:55 AM","0.00","1.00","1.00"
"19/03/2020 8:59:20 AM","1.00","1.00","1.00"
"19/03/2020 8:54:28 AM","0.00","1.00","1.00"
"19/03/2020 8:16:22 AM","1.00","1.00","1.00"
"19/03/2020 8:15:40 AM","0.00","1.00","1.00"
"19/03/2020 7:57:38 AM","1.00","1.00","1.00"
"19/03/2020 7:56:26 AM","0.00","1.00","1.00"
"19/03/2020 7:48:44 AM","1.00","1.00","1.00"
"19/03/2020 7:47:02 AM","0.00","1.00","1.00"
"19/03/2020 7:42:02 AM","1.00","1.00","1.00"
"19/03/2020 7:41:26 AM","0.00","1.00","1.00"
"19/03/2020 7:35:03 AM","1.00","1.00","1.00"
"19/03/2020 7:26:53 AM","0.00","1.00","1.00"
"19/03/2020 7:21:42 AM","1.00","1.00","1.00"
"19/03/2020 7:16:38 AM","0.00","1.00","1.00"
"19/03/2020 7:03:42 AM","1.00","1.00","1.00"
"19/03/2020 6:56:51 AM","0.00","1.00","1.00"
"19/03/2020 6:51:48 AM","1.00","1.00","1.00"
"19/03/2020 6:44:57 AM","0.00","1.00","1.00"
"19/03/2020 6:35:31 AM","1.00","1.00","1.00"
"19/03/2020 6:26:48 AM","0.00","1.00","1.00"
"19/03/2020 6:21:38 AM","1.00","1.00","1.00"
"19/03/2020 6:03:49 AM","0.00","1.00","1.00"
"19/03/2020 5:58:40 AM","1.00","1.00","1.00"
"19/03/2020 5:35:29 AM","0.00","1.00","1.00"
"19/03/2020 5:30:28 AM","1.00","1.00","1.00"
"19/03/2020 5:22:46 AM","0.00","1.00","1.00"
"19/03/2020 5:07:40 AM","1.00","1.00","1.00"
"19/03/2020 5:01:14 AM","0.00","1.00","1.00"
"19/03/2020 4:56:06 AM","1.00","1.00","1.00"
"19/03/2020 4:36:58 AM","0.00","1.00","1.00"
"19/03/2020 4:31:50 AM","1.00","1.00","1.00"
"19/03/2020 4:30:42 AM","0.00","1.00","1.00"
"19/03/2020 4:21:17 AM","1.00","1.00","1.00"
"19/03/2020 4:20:29 AM","0.00","1.00","1.00"
"19/03/2020 4:15:26 AM","1.00","1.00","1.00"
"19/03/2020 4:07:46 AM","0.00","1.00","1.00"
"19/03/2020 3:36:23 AM","1.00","1.00","1.00"
"19/03/2020 3:36:17 AM","1.00","1.00","0.00"
"19/03/2020 3:30:14 AM","1.00","0.00","0.00"
"19/03/2020 12:48:08 AM","0.00","0.00","0.00"
"19/03/2020 12:48:07 AM","0.00","0.00","1.00"
"19/03/2020 12:18:04 AM","0.00","1.00","1.00"
"19/03/2020 12:17:57 AM","0.00","1.00","0.00"
"19/03/2020 12:17:07 AM","0.00","0.00","0.00"
"19/03/2020 12:11:54 AM","1.00","0.00","0.00"
"18/03/2020 11:53:11 PM","0.00","0.00","0.00"
"18/03/2020 11:53:07 PM","0.00","0.00","1.00"
"18/03/2020 11:22:07 PM","0.00","1.00","1.00"
"18/03/2020 11:01:51 PM","1.00","1.00","1.00"
"18/03/2020 10:33:32 PM","1.00","1.00","1.00"
"18/03/2020 10:30:18 PM","0.00","1.00","1.00"
"18/03/2020 10:13:07 PM","1.00","1.00","1.00"
"18/03/2020 10:12:44 PM","0.00","1.00","1.00"
"18/03/2020 9:51:32 PM","1.00","1.00","1.00"
"18/03/2020 9:46:30 PM","0.00","1.00","1.00"
"18/03/2020 9:41:25 PM","1.00","1.00","1.00"
"18/03/2020 9:38:33 PM","0.00","1.00","1.00"
"18/03/2020 9:31:28 PM","1.00","1.00","1.00"
"18/03/2020 9:29:53 PM","0.00","1.00","1.00"
"18/03/2020 9:09:15 PM","1.00","1.00","1.00"
"18/03/2020 9:02:19 PM","0.00","1.00","1.00"
"18/03/2020 8:57:15 PM","1.00","1.00","1.00"
"18/03/2020 8:55:59 PM","0.00","1.00","1.00"
"18/03/2020 8:48:38 PM","1.00","1.00","1.00"
"18/03/2020 8:46:47 PM","0.00","1.00","1.00"
"18/03/2020 8:33:05 PM","1.00","1.00","1.00"
"18/03/2020 8:24:56 PM","0.00","1.00","1.00"
"18/03/2020 8:19:11 PM","1.00","1.00","1.00"
"18/03/2020 8:15:39 PM","0.00","1.00","1.00"
"18/03/2020 7:38:25 PM","1.00","1.00","1.00"
"18/03/2020 7:35:04 PM","0.00","1.00","1.00"
"18/03/2020 7:16:55 PM","1.00","1.00","1.00"
"18/03/2020 7:14:28 PM","0.00","1.00","1.00"
"18/03/2020 6:57:21 PM","1.00","1.00","1.00"
"18/03/2020 6:51:56 PM","0.00","1.00","1.00"
"18/03/2020 6:44:44 PM","1.00","1.00","1.00"
"18/03/2020 6:44:13 PM","0.00","1.00","1.00"
"18/03/2020 6:30:50 PM","1.00","1.00","1.00"
"18/03/2020 6:25:53 PM","0.00","1.00","1.00"
"18/03/2020 6:08:58 PM","1.00","1.00","1.00"
"18/03/2020 6:08:34 PM","0.00","1.00","1.00"
"18/03/2020 6:06:10 PM","1.00","1.00","1.00"
"18/03/2020 6:06:07 PM","1.00","1.00","0.00"
"18/03/2020 6:00:09 PM","1.00","0.00","0.00"
"18/03/2020 6:00:07 PM","1.00","0.00","1.00"
"18/03/2020 10:14:56 AM","1.00","1.00","1.00"
"18/03/2020 10:14:10 AM","0.00","1.00","1.00"
"18/03/2020 8:57:24 AM","1.00","1.00","1.00"
"18/03/2020 8:53:23 AM","0.00","1.00","1.00"
"18/03/2020 8:46:48 AM","1.00","1.00","1.00"
"18/03/2020 8:46:47 AM","0.00","1.00","1.00"
"18/03/2020 7:54:59 AM","1.00","1.00","1.00"
