"Timestamp","FCU-00-08   PIR Log","FCU-00-08  Enable Log","FCU-00-08   Status Log"
"9/03/2020 2:57:08 PM","1.00","1.00","1.00"
"9/03/2020 2:52:26 PM","0.00","1.00","1.00"
"9/03/2020 2:47:25 PM","1.00","1.00","1.00"
"9/03/2020 2:31:33 PM","0.00","1.00","1.00"
"9/03/2020 2:25:02 PM","1.00","1.00","1.00"
"9/03/2020 2:18:51 PM","0.00","1.00","1.00"
"9/03/2020 2:18:38 PM","0.00","1.00","1.00"
"9/03/2020 2:18:37 PM","0.00","1.00","0.00"
"9/03/2020 2:18:27 PM","0.00","1.00","1.00"
"9/03/2020 2:18:26 PM","0.00","1.00","1.00"
"9/03/2020 2:18:22 PM","0.00","1.00","1.00"
"9/03/2020 2:14:49 PM","0.00","1.00","1.00"
"9/03/2020 2:14:48 PM","0.00","1.00","0.00"
"9/03/2020 2:14:43 PM","0.00","1.00","1.00"
"9/03/2020 2:14:34 PM","0.00","1.00","1.00"
"9/03/2020 2:14:31 PM","0.00","1.00","1.00"
"9/03/2020 2:14:26 PM","0.00","1.00","1.00"
"9/03/2020 2:14:25 PM","0.00","1.00","1.00"
"9/03/2020 2:14:24 PM","0.00","1.00","0.00"
"9/03/2020 2:14:21 PM","0.00","1.00","1.00"
"9/03/2020 2:14:12 PM","0.00","1.00","1.00"
"9/03/2020 2:14:06 PM","0.00","1.00","1.00"
"9/03/2020 2:14:05 PM","0.00","1.00","1.00"
"9/03/2020 2:13:52 PM","0.00","1.00","1.00"
"9/03/2020 2:13:51 PM","0.00","1.00","0.00"
"9/03/2020 2:13:48 PM","0.00","1.00","1.00"
"9/03/2020 2:13:41 PM","0.00","1.00","1.00"
"9/03/2020 2:13:31 PM","1.00","1.00","1.00"
"9/03/2020 2:13:30 PM","1.00","1.00","1.00"
"9/03/2020 2:13:29 PM","1.00","1.00","0.00"
"9/03/2020 2:13:26 PM","1.00","1.00","1.00"
"9/03/2020 2:13:22 PM","1.00","1.00","1.00"
"9/03/2020 2:13:21 PM","1.00","1.00","1.00"
"9/03/2020 2:13:18 PM","1.00","1.00","1.00"
"9/03/2020 2:13:17 PM","1.00","1.00","1.00"
"9/03/2020 2:13:16 PM","1.00","1.00","1.00"
"9/03/2020 2:13:15 PM","1.00","1.00","1.00"
"9/03/2020 2:13:13 PM","1.00","1.00","1.00"
"9/03/2020 2:11:51 PM","1.00","1.00","1.00"
"9/03/2020 2:11:44 PM","1.00","1.00","1.00"
"9/03/2020 2:11:43 PM","1.00","1.00","0.00"
"9/03/2020 2:11:35 PM","1.00","1.00","1.00"
"9/03/2020 2:11:34 PM","1.00","1.00","0.00"
"9/03/2020 2:11:33 PM","1.00","1.00","1.00"
"9/03/2020 2:11:29 PM","1.00","1.00","1.00"
"9/03/2020 2:11:28 PM","1.00","1.00","0.00"
"9/03/2020 2:11:27 PM","1.00","1.00","1.00"
"9/03/2020 2:11:21 PM","1.00","1.00","1.00"
"9/03/2020 2:11:20 PM","1.00","1.00","1.00"
"9/03/2020 2:11:19 PM","1.00","1.00","1.00"
"9/03/2020 2:11:18 PM","1.00","1.00","0.00"
"9/03/2020 2:11:15 PM","1.00","1.00","1.00"
"9/03/2020 2:11:12 PM","1.00","1.00","1.00"
"9/03/2020 2:11:11 PM","1.00","1.00","1.00"
"9/03/2020 2:11:10 PM","1.00","1.00","1.00"
"9/03/2020 2:11:01 PM","1.00","1.00","1.00"
"9/03/2020 2:10:59 PM","1.00","1.00","1.00"
"9/03/2020 2:10:57 PM","1.00","1.00","1.00"
"9/03/2020 2:10:56 PM","1.00","1.00","1.00"
"9/03/2020 2:10:54 PM","1.00","1.00","1.00"
"9/03/2020 2:10:53 PM","1.00","1.00","0.00"
"9/03/2020 2:10:49 PM","1.00","1.00","1.00"
"9/03/2020 2:10:47 PM","1.00","1.00","1.00"
"9/03/2020 2:10:46 PM","1.00","1.00","1.00"
"9/03/2020 2:10:45 PM","1.00","1.00","0.00"
"9/03/2020 2:10:44 PM","1.00","1.00","1.00"
"9/03/2020 2:10:43 PM","1.00","1.00","0.00"
"9/03/2020 2:10:42 PM","1.00","1.00","1.00"
"9/03/2020 2:10:41 PM","1.00","1.00","1.00"
"9/03/2020 2:10:36 PM","1.00","1.00","1.00"
"9/03/2020 2:10:35 PM","1.00","1.00","0.00"
"9/03/2020 2:10:34 PM","1.00","1.00","0.00"
"9/03/2020 2:10:08 PM","1.00","1.00","1.00"
"9/03/2020 2:10:06 PM","1.00","1.00","1.00"
"9/03/2020 2:10:05 PM","1.00","1.00","1.00"
"9/03/2020 2:10:04 PM","1.00","1.00","1.00"
"9/03/2020 2:10:03 PM","1.00","1.00","0.00"
"9/03/2020 2:10:02 PM","1.00","1.00","1.00"
"9/03/2020 2:09:58 PM","1.00","1.00","1.00"
"9/03/2020 2:09:57 PM","1.00","1.00","1.00"
"9/03/2020 2:09:53 PM","1.00","1.00","1.00"
"9/03/2020 2:09:52 PM","1.00","1.00","0.00"
"9/03/2020 2:09:51 PM","1.00","1.00","1.00"
"9/03/2020 2:09:49 PM","1.00","1.00","1.00"
"9/03/2020 2:09:47 PM","1.00","1.00","1.00"
"9/03/2020 2:09:45 PM","1.00","1.00","1.00"
"9/03/2020 2:09:44 PM","1.00","1.00","0.00"
"9/03/2020 2:09:43 PM","1.00","1.00","1.00"
"9/03/2020 2:09:42 PM","1.00","1.00","0.00"
"9/03/2020 2:09:41 PM","1.00","1.00","0.00"
"9/03/2020 2:09:39 PM","1.00","1.00","1.00"
