"Timestamp","FCU-00-14  PIR Log","FCU-00-14  Enable Log","FCU-00-14   Status Log"
"24/01/2020 6:00:14 PM","1.00","0.00","0.00"
"24/01/2020 6:00:10 PM","1.00","0.00","1.00"
"24/01/2020 2:59:25 PM","1.00","1.00","1.00"
"24/01/2020 2:59:20 PM","1.00","1.00","0.00"
"24/01/2020 2:45:13 PM","1.00","0.00","0.00"
"24/01/2020 2:45:10 PM","1.00","0.00","1.00"
"24/01/2020 1:51:50 PM","1.00","1.00","1.00"
"24/01/2020 1:51:40 PM","1.00","1.00","0.00"
"24/01/2020 1:33:23 PM","1.00","0.00","0.00"
"24/01/2020 1:33:20 PM","1.00","0.00","1.00"
"24/01/2020 1:27:20 PM","1.00","1.00","1.00"
"24/01/2020 1:27:10 PM","1.00","1.00","0.00"
"24/01/2020 1:19:03 PM","1.00","0.00","0.00"
"24/01/2020 1:19:00 PM","1.00","0.00","1.00"
"24/01/2020 1:03:40 PM","1.00","1.00","1.00"
"24/01/2020 1:03:30 PM","1.00","1.00","0.00"
"24/01/2020 12:49:33 PM","1.00","0.00","0.00"
"24/01/2020 12:49:30 PM","1.00","0.00","1.00"
"24/01/2020 12:00:10 PM","1.00","1.00","1.00"
"24/01/2020 12:00:00 PM","1.00","1.00","0.00"
"24/01/2020 11:54:44 AM","1.00","0.00","0.00"
"24/01/2020 11:54:40 AM","1.00","0.00","1.00"
"24/01/2020 9:35:45 AM","1.00","1.00","1.00"
"24/01/2020 9:35:40 AM","1.00","1.00","0.00"
"24/01/2020 7:19:33 AM","1.00","0.00","0.00"
"24/01/2020 7:19:30 AM","1.00","0.00","1.00"
"23/01/2020 6:06:10 PM","1.00","1.00","1.00"
"23/01/2020 6:06:00 PM","1.00","1.00","0.00"
"23/01/2020 6:00:03 PM","1.00","0.00","0.00"
"23/01/2020 6:00:00 PM","1.00","0.00","1.00"
"23/01/2020 10:35:25 AM","1.00","1.00","1.00"
"23/01/2020 10:35:20 AM","1.00","1.00","0.00"
"23/01/2020 10:03:54 AM","1.00","0.00","0.00"
"23/01/2020 10:03:50 AM","1.00","0.00","1.00"
"22/01/2020 6:06:10 PM","1.00","1.00","1.00"
"22/01/2020 6:06:00 PM","1.00","1.00","0.00"
"22/01/2020 6:00:13 PM","1.00","0.00","0.00"
"22/01/2020 6:00:10 PM","1.00","0.00","1.00"
"21/01/2020 6:07:45 PM","1.00","1.00","1.00"
"21/01/2020 6:07:40 PM","1.00","1.00","0.00"
"21/01/2020 8:49:23 AM","1.00","0.00","0.00"
"21/01/2020 8:49:20 AM","1.00","0.00","1.00"
"21/01/2020 8:40:50 AM","1.00","1.00","1.00"
"21/01/2020 8:40:40 AM","1.00","1.00","0.00"
"21/01/2020 8:11:43 AM","1.00","0.00","0.00"
"21/01/2020 8:11:40 AM","1.00","0.00","1.00"
"20/01/2020 6:06:15 PM","1.00","1.00","1.00"
"20/01/2020 6:06:10 PM","1.00","1.00","0.00"
"20/01/2020 6:00:04 PM","1.00","0.00","0.00"
"20/01/2020 6:00:00 PM","1.00","0.00","1.00"
"20/01/2020 11:02:10 AM","1.00","1.00","1.00"
"20/01/2020 11:02:00 AM","1.00","1.00","0.00"
"20/01/2020 6:22:34 AM","1.00","0.00","0.00"
"20/01/2020 6:22:30 AM","1.00","0.00","1.00"
"20/01/2020 1:44:08 AM","1.00","1.00","1.00"
"17/01/2020 6:06:15 PM","1.00","1.00","1.00"
"17/01/2020 6:06:10 PM","1.00","1.00","0.00"
"17/01/2020 6:00:03 PM","1.00","0.00","0.00"
"17/01/2020 6:00:00 PM","1.00","0.00","1.00"
"17/01/2020 9:25:55 AM","1.00","1.00","1.00"
"17/01/2020 9:25:50 AM","1.00","1.00","0.00"
"17/01/2020 9:20:24 AM","1.00","0.00","0.00"
"17/01/2020 9:20:20 AM","1.00","0.00","1.00"
"17/01/2020 9:16:00 AM","1.00","1.00","1.00"
"17/01/2020 9:15:50 AM","1.00","1.00","0.00"
"17/01/2020 9:09:23 AM","1.00","0.00","0.00"
"17/01/2020 9:09:20 AM","1.00","0.00","1.00"
"16/01/2020 6:06:09 PM","1.00","1.00","1.00"
"16/01/2020 6:06:00 PM","1.00","1.00","0.00"
"16/01/2020 6:00:04 PM","1.00","0.00","0.00"
"16/01/2020 6:00:00 PM","1.00","0.00","1.00"
"16/01/2020 10:35:20 AM","1.00","1.00","1.00"
"16/01/2020 10:35:10 AM","1.00","1.00","0.00"
"16/01/2020 10:22:04 AM","1.00","0.00","0.00"
"16/01/2020 10:22:00 AM","1.00","0.00","1.00"
"16/01/2020 10:00:05 AM","1.00","1.00","1.00"
"16/01/2020 10:00:00 AM","1.00","1.00","0.00"
"16/01/2020 9:18:33 AM","1.00","0.00","0.00"
"16/01/2020 9:18:30 AM","1.00","0.00","1.00"
