"Timestamp","AHU_B1_02-PIR2 Log","AHU_B1_02-Sts Log","AHU_B1_02-Enable Log"
"19/03/2020 6:07:54 AM","0.00","1.00","1.00"
"19/03/2020 6:04:59 AM","1.00","1.00","1.00"
"19/03/2020 6:00:15 AM","1.00","0.00","1.00"
"19/03/2020 6:00:02 AM","0.00","0.00","1.00"
"19/03/2020 5:58:54 AM","0.00","0.00","0.00"
"19/03/2020 5:53:40 AM","1.00","0.00","0.00"
"19/03/2020 5:23:12 AM","0.00","0.00","0.00"
"19/03/2020 5:18:12 AM","1.00","0.00","0.00"
"19/03/2020 4:18:43 AM","0.00","0.00","0.00"
"19/03/2020 4:13:32 AM","1.00","0.00","0.00"
"18/03/2020 11:59:07 PM","0.00","0.00","0.00"
"18/03/2020 11:53:57 PM","1.00","0.00","0.00"
"18/03/2020 9:48:17 PM","0.00","0.00","0.00"
"18/03/2020 9:47:48 PM","0.00","1.00","0.00"
"18/03/2020 8:13:24 PM","0.00","1.00","1.00"
"18/03/2020 8:08:24 PM","1.00","1.00","1.00"
"18/03/2020 7:32:49 PM","0.00","1.00","1.00"
"18/03/2020 7:27:49 PM","1.00","1.00","1.00"
"18/03/2020 7:27:47 PM","0.00","1.00","1.00"
"18/03/2020 7:22:47 PM","1.00","1.00","1.00"
"18/03/2020 7:08:50 PM","0.00","1.00","1.00"
"18/03/2020 7:03:02 PM","1.00","1.00","1.00"
"18/03/2020 6:21:34 PM","0.00","1.00","1.00"
"18/03/2020 6:16:31 PM","1.00","1.00","1.00"
"18/03/2020 5:47:40 PM","0.00","1.00","1.00"
"18/03/2020 5:42:39 PM","1.00","1.00","1.00"
"18/03/2020 5:05:08 PM","0.00","1.00","1.00"
"18/03/2020 4:45:09 PM","1.00","1.00","1.00"
"18/03/2020 4:37:47 PM","0.00","1.00","1.00"
"18/03/2020 4:32:36 PM","1.00","1.00","1.00"
"18/03/2020 3:58:19 PM","0.00","1.00","1.00"
"18/03/2020 3:53:19 PM","1.00","1.00","1.00"
"18/03/2020 3:35:22 PM","0.00","1.00","1.00"
"18/03/2020 3:29:20 PM","1.00","1.00","1.00"
"18/03/2020 3:03:16 PM","0.00","1.00","1.00"
"18/03/2020 2:57:32 PM","1.00","1.00","1.00"
"18/03/2020 2:36:26 PM","0.00","1.00","1.00"
"18/03/2020 2:31:16 PM","1.00","1.00","1.00"
"18/03/2020 1:58:46 PM","0.00","1.00","1.00"
"18/03/2020 1:53:00 PM","1.00","1.00","1.00"
"18/03/2020 1:51:14 PM","0.00","1.00","1.00"
"18/03/2020 1:41:24 PM","1.00","1.00","1.00"
"18/03/2020 1:05:22 PM","0.00","1.00","1.00"
"18/03/2020 12:58:22 PM","1.00","1.00","1.00"
"18/03/2020 12:14:42 PM","0.00","1.00","1.00"
"18/03/2020 12:09:42 PM","1.00","1.00","1.00"
"18/03/2020 12:06:37 PM","0.00","1.00","1.00"
"18/03/2020 12:01:37 PM","1.00","1.00","1.00"
"18/03/2020 11:59:59 AM","0.00","1.00","1.00"
"18/03/2020 11:54:59 AM","1.00","1.00","1.00"
"18/03/2020 11:46:58 AM","0.00","1.00","1.00"
"18/03/2020 11:41:57 AM","1.00","1.00","1.00"
"18/03/2020 11:14:58 AM","0.00","1.00","1.00"
"18/03/2020 11:09:58 AM","1.00","1.00","1.00"
"18/03/2020 10:22:09 AM","0.00","1.00","1.00"
"18/03/2020 10:17:09 AM","1.00","1.00","1.00"
"18/03/2020 10:14:10 AM","0.00","1.00","1.00"
"18/03/2020 10:09:11 AM","1.00","1.00","1.00"
"18/03/2020 9:33:58 AM","0.00","1.00","1.00"
"18/03/2020 9:28:58 AM","1.00","1.00","1.00"
"18/03/2020 9:05:22 AM","0.00","1.00","1.00"
"18/03/2020 9:00:23 AM","1.00","1.00","1.00"
"18/03/2020 8:49:54 AM","0.00","1.00","1.00"
"18/03/2020 8:44:45 AM","1.00","1.00","1.00"
"18/03/2020 8:42:19 AM","0.00","1.00","1.00"
"18/03/2020 8:37:19 AM","1.00","1.00","1.00"
"18/03/2020 8:31:37 AM","0.00","1.00","1.00"
"18/03/2020 8:26:37 AM","1.00","1.00","1.00"
"18/03/2020 8:08:56 AM","0.00","1.00","1.00"
"18/03/2020 8:03:55 AM","1.00","1.00","1.00"
"18/03/2020 7:29:51 AM","0.00","1.00","1.00"
"18/03/2020 7:24:52 AM","1.00","1.00","1.00"
"18/03/2020 7:23:37 AM","0.00","1.00","1.00"
"18/03/2020 7:18:36 AM","1.00","1.00","1.00"
"18/03/2020 6:59:44 AM","0.00","1.00","1.00"
"18/03/2020 6:47:19 AM","1.00","1.00","1.00"
"18/03/2020 6:41:11 AM","0.00","1.00","1.00"
"18/03/2020 6:28:51 AM","1.00","1.00","1.00"
"18/03/2020 6:04:10 AM","0.00","1.00","1.00"
"18/03/2020 6:00:01 AM","0.00","0.00","1.00"
"18/03/2020 6:00:00 AM","0.00","0.00","0.00"
"18/03/2020 5:52:18 AM","1.00","0.00","0.00"
"18/03/2020 5:52:09 AM","0.00","0.00","0.00"
"18/03/2020 5:42:35 AM","1.00","0.00","0.00"
"18/03/2020 5:42:14 AM","0.00","0.00","0.00"
"18/03/2020 5:28:26 AM","1.00","0.00","0.00"
"18/03/2020 5:20:14 AM","0.00","0.00","0.00"
"18/03/2020 5:15:13 AM","1.00","0.00","0.00"
"18/03/2020 4:25:36 AM","0.00","0.00","0.00"
"18/03/2020 4:20:22 AM","1.00","0.00","0.00"
"17/03/2020 11:27:49 PM","0.00","0.00","0.00"
"17/03/2020 11:22:36 PM","1.00","0.00","0.00"
"17/03/2020 8:33:01 PM","0.00","0.00","0.00"
"17/03/2020 8:28:02 PM","1.00","0.00","0.00"
"17/03/2020 8:14:26 PM","0.00","0.00","0.00"
"17/03/2020 7:44:54 PM","0.00","1.00","0.00"
"17/03/2020 7:39:53 PM","1.00","1.00","0.00"
"17/03/2020 6:27:53 PM","0.00","1.00","0.00"
"17/03/2020 6:27:49 PM","0.00","1.00","1.00"
"17/03/2020 6:22:29 PM","1.00","1.00","1.00"
"17/03/2020 6:22:13 PM","0.00","1.00","1.00"
"17/03/2020 6:16:01 PM","1.00","1.00","1.00"
"17/03/2020 5:49:41 PM","0.00","1.00","1.00"
"17/03/2020 5:44:41 PM","1.00","1.00","1.00"
"17/03/2020 5:37:00 PM","0.00","1.00","1.00"
"17/03/2020 5:32:01 PM","1.00","1.00","1.00"
"17/03/2020 5:03:17 PM","0.00","1.00","1.00"
"17/03/2020 4:58:17 PM","1.00","1.00","1.00"
"17/03/2020 4:56:40 PM","0.00","1.00","1.00"
"17/03/2020 4:46:14 PM","1.00","1.00","1.00"
"17/03/2020 4:30:05 PM","0.00","1.00","1.00"
"17/03/2020 4:25:05 PM","1.00","1.00","1.00"
"17/03/2020 4:24:49 PM","0.00","1.00","1.00"
"17/03/2020 4:19:50 PM","1.00","1.00","1.00"
"17/03/2020 4:10:48 PM","0.00","1.00","1.00"
"17/03/2020 4:05:01 PM","1.00","1.00","1.00"
"17/03/2020 4:03:46 PM","0.00","1.00","1.00"
"17/03/2020 3:57:03 PM","1.00","1.00","1.00"
"17/03/2020 3:37:32 PM","0.00","1.00","1.00"
"17/03/2020 3:32:32 PM","1.00","1.00","1.00"
"17/03/2020 3:26:51 PM","0.00","1.00","1.00"
"17/03/2020 3:12:48 PM","1.00","1.00","1.00"
"17/03/2020 3:11:53 PM","0.00","1.00","1.00"
"17/03/2020 3:06:54 PM","1.00","1.00","1.00"
"17/03/2020 2:56:14 PM","0.00","1.00","1.00"
"17/03/2020 2:51:13 PM","1.00","1.00","1.00"
"17/03/2020 2:26:11 PM","0.00","1.00","1.00"
"17/03/2020 2:21:11 PM","1.00","1.00","1.00"
"17/03/2020 2:18:26 PM","0.00","1.00","1.00"
"17/03/2020 2:12:05 PM","1.00","1.00","1.00"
"17/03/2020 2:00:41 PM","0.00","1.00","1.00"
"17/03/2020 1:55:41 PM","1.00","1.00","1.00"
"17/03/2020 1:43:09 PM","0.00","1.00","1.00"
"17/03/2020 1:30:16 PM","1.00","1.00","1.00"
"17/03/2020 1:29:08 PM","0.00","1.00","1.00"
"17/03/2020 1:21:15 PM","1.00","1.00","1.00"
"17/03/2020 1:20:52 PM","0.00","1.00","1.00"
"17/03/2020 1:15:53 PM","1.00","1.00","1.00"
"17/03/2020 1:15:18 PM","0.00","1.00","1.00"
"17/03/2020 1:10:18 PM","1.00","1.00","1.00"
"17/03/2020 12:57:26 PM","0.00","1.00","1.00"
"17/03/2020 12:48:58 PM","1.00","1.00","1.00"
"17/03/2020 12:28:09 PM","0.00","1.00","1.00"
"17/03/2020 12:20:25 PM","1.00","1.00","1.00"
"17/03/2020 12:19:21 PM","0.00","1.00","1.00"
"17/03/2020 12:13:55 PM","1.00","1.00","1.00"
"17/03/2020 12:08:13 PM","0.00","1.00","1.00"
"17/03/2020 12:03:12 PM","1.00","1.00","1.00"
"17/03/2020 11:48:22 AM","0.00","1.00","1.00"
"17/03/2020 11:43:22 AM","1.00","1.00","1.00"
"17/03/2020 11:43:13 AM","0.00","1.00","1.00"
"17/03/2020 11:37:24 AM","1.00","1.00","1.00"
"17/03/2020 11:37:07 AM","0.00","1.00","1.00"
"17/03/2020 11:26:07 AM","1.00","1.00","1.00"
"17/03/2020 11:25:01 AM","0.00","1.00","1.00"
"17/03/2020 11:03:41 AM","1.00","1.00","1.00"
"17/03/2020 11:01:51 AM","0.00","1.00","1.00"
"17/03/2020 10:55:54 AM","1.00","1.00","1.00"
"17/03/2020 10:54:44 AM","0.00","1.00","1.00"
"17/03/2020 10:49:43 AM","1.00","1.00","1.00"
"17/03/2020 10:47:35 AM","0.00","1.00","1.00"
"17/03/2020 10:42:26 AM","1.00","1.00","1.00"
"17/03/2020 10:42:19 AM","0.00","1.00","1.00"
"17/03/2020 10:37:06 AM","1.00","1.00","1.00"
"17/03/2020 10:30:15 AM","0.00","1.00","1.00"
"17/03/2020 10:25:14 AM","1.00","1.00","1.00"
"17/03/2020 10:21:49 AM","0.00","1.00","1.00"
"17/03/2020 10:14:52 AM","1.00","1.00","1.00"
"17/03/2020 9:53:35 AM","0.00","1.00","1.00"
"17/03/2020 9:46:23 AM","1.00","1.00","1.00"
"17/03/2020 9:38:41 AM","0.00","1.00","1.00"
"17/03/2020 9:33:28 AM","1.00","1.00","1.00"
"17/03/2020 9:25:57 AM","0.00","1.00","1.00"
"17/03/2020 9:16:59 AM","1.00","1.00","1.00"
"17/03/2020 9:01:11 AM","0.00","1.00","1.00"
