"Timestamp","FCU-00-13   PIR Log","FCU-00-13   Enable Log","FCU-00-13  Status Log"
"27/02/2020 1:02:58 PM","0.00","1.00","1.00"
"27/02/2020 12:58:31 PM","0.00","1.00","1.00"
"27/02/2020 12:58:30 PM","0.00","1.00","0.00"
"27/02/2020 12:58:15 PM","0.00","1.00","1.00"
"27/02/2020 12:57:14 PM","0.00","1.00","1.00"
"27/02/2020 12:57:13 PM","0.00","1.00","0.00"
"27/02/2020 12:55:41 PM","0.00","1.00","1.00"
"27/02/2020 12:55:39 PM","0.00","1.00","1.00"
"27/02/2020 12:54:23 PM","0.00","1.00","1.00"
"27/02/2020 12:53:59 PM","0.00","1.00","1.00"
"27/02/2020 12:53:26 PM","0.00","1.00","1.00"
"27/02/2020 12:53:22 PM","0.00","1.00","0.00"
"27/02/2020 12:44:25 PM","0.00","1.00","1.00"
"27/02/2020 12:44:24 PM","0.00","1.00","0.00"
"27/02/2020 12:43:04 PM","0.00","1.00","1.00"
"27/02/2020 12:42:31 PM","0.00","1.00","1.00"
"27/02/2020 12:40:05 PM","0.00","1.00","1.00"
"27/02/2020 12:33:25 PM","0.00","1.00","1.00"
"27/02/2020 12:33:07 PM","0.00","1.00","1.00"
"27/02/2020 12:32:53 PM","0.00","1.00","1.00"
"27/02/2020 12:32:43 PM","0.00","1.00","0.00"
"27/02/2020 12:28:09 PM","0.00","0.00","0.00"
"27/02/2020 12:28:03 PM","0.00","0.00","1.00"
"27/02/2020 11:41:00 AM","0.00","1.00","1.00"
"27/02/2020 11:40:43 AM","0.00","1.00","0.00"
"27/02/2020 9:17:17 AM","0.00","0.00","0.00"
"27/02/2020 9:17:13 AM","0.00","0.00","1.00"
"27/02/2020 8:05:11 AM","0.00","1.00","1.00"
"27/02/2020 8:05:10 AM","0.00","1.00","0.00"
"27/02/2020 7:57:05 AM","0.00","1.00","1.00"
"27/02/2020 7:56:39 AM","0.00","1.00","1.00"
"27/02/2020 7:53:52 AM","0.00","1.00","1.00"
"27/02/2020 7:53:36 AM","0.00","1.00","1.00"
"27/02/2020 7:53:28 AM","0.00","1.00","1.00"
"27/02/2020 7:48:20 AM","0.00","1.00","1.00"
"27/02/2020 7:48:16 AM","0.00","1.00","1.00"
"27/02/2020 7:48:15 AM","0.00","1.00","0.00"
"27/02/2020 7:48:08 AM","0.00","1.00","1.00"
"27/02/2020 7:48:07 AM","0.00","1.00","0.00"
"27/02/2020 7:45:21 AM","0.00","1.00","1.00"
"27/02/2020 7:45:20 AM","0.00","1.00","0.00"
"27/02/2020 7:45:19 AM","0.00","1.00","0.00"
"27/02/2020 7:45:01 AM","0.00","1.00","1.00"
"27/02/2020 7:44:45 AM","0.00","1.00","1.00"
"27/02/2020 7:44:44 AM","0.00","1.00","1.00"
"27/02/2020 7:44:41 AM","0.00","1.00","0.00"
"27/02/2020 7:44:37 AM","0.00","1.00","1.00"
"27/02/2020 7:44:26 AM","0.00","1.00","1.00"
"27/02/2020 7:44:03 AM","0.00","1.00","1.00"
"27/02/2020 7:43:44 AM","0.00","1.00","1.00"
"27/02/2020 7:41:59 AM","0.00","1.00","1.00"
"27/02/2020 7:41:47 AM","0.00","1.00","1.00"
"27/02/2020 7:33:02 AM","0.00","1.00","1.00"
"27/02/2020 7:32:51 AM","0.00","1.00","1.00"
"27/02/2020 7:32:48 AM","0.00","1.00","1.00"
"27/02/2020 7:32:42 AM","0.00","1.00","1.00"
"27/02/2020 7:28:41 AM","0.00","1.00","1.00"
"27/02/2020 7:28:33 AM","0.00","1.00","0.00"
"27/02/2020 7:23:55 AM","0.00","0.00","0.00"
"27/02/2020 7:23:53 AM","0.00","0.00","1.00"
"27/02/2020 7:23:22 AM","0.00","1.00","1.00"
"27/02/2020 7:23:21 AM","0.00","1.00","1.00"
"27/02/2020 7:23:13 AM","0.00","1.00","0.00"
"21/02/2020 5:41:25 PM","0.00","0.00","0.00"
"21/02/2020 5:41:23 PM","0.00","0.00","1.00"
"21/02/2020 5:33:06 PM","0.00","1.00","1.00"
"21/02/2020 5:32:44 PM","0.00","1.00","1.00"
"21/02/2020 5:32:43 PM","0.00","1.00","0.00"
"21/02/2020 5:25:35 PM","0.00","1.00","1.00"
"21/02/2020 5:25:34 PM","0.00","1.00","0.00"
"21/02/2020 5:25:23 PM","0.00","1.00","1.00"
"21/02/2020 5:25:21 PM","0.00","1.00","0.00"
"21/02/2020 5:25:07 PM","0.00","1.00","1.00"
"21/02/2020 5:25:05 PM","0.00","1.00","0.00"
"21/02/2020 5:25:04 PM","0.00","1.00","0.00"
"21/02/2020 5:24:53 PM","0.00","1.00","0.00"
"21/02/2020 11:19:48 AM","0.00","0.00","0.00"
"21/02/2020 11:19:43 AM","0.00","0.00","1.00"
